num_keys,r,layers,epsilon,bucket,build_time,query_time,space,metadata,Z
10000000,3,2,0,32,4679652274,4537522567,31176939,625002,30551937
10000000,3,2,0,64,4787500956,4527477705,30889690,312502,30577188
10000000,3,2,0,128,4788143885,4529061580,30798126,156252,30641874
10000000,3,2,0,256,4845787963,4525781550,30853152,78126,30775026
10000000,3,2,0.05,32,4356890227,4536140012,32171726,656252,31515474
10000000,3,2,0.05,64,4357226688,4536408705,31842553,328126,31514427
10000000,3,2,0.05,128,4354231969,4515638698,31678140,164064,31514076
10000000,3,2,0.05,256,4355740002,4516554837,31598154,82032,31516122
10000000,3,2,0.1,32,4222767253,4524965141,33688057,687502,33000555
10000000,3,2,0.1,64,4217412695,4518215323,33344211,343752,33000459
10000000,3,2,0.1,128,4220755354,4517802237,33172119,171876,33000243
10000000,3,2,0.1,256,4227079396,4507860782,33086223,85938,33000285
10000000,3,2,0.15,32,4201051835,4526471128,35218755,718752,34500003
10000000,3,2,0.15,64,4182036035,4522214631,34859379,359376,34500003
10000000,3,2,0.15,128,4180467254,4528907959,34679691,179688,34500003
10000000,3,2,0.15,256,4187049051,4506558020,34589847,89844,34500003
10000000,3,2,0.2,32,4143000869,4526743301,36750005,750002,36000003
10000000,3,2,0.2,64,4159372441,4528022541,36375005,375002,36000003
10000000,3,2,0.2,128,4187604398,4563262668,36187505,187502,36000003
10000000,3,2,0.2,256,4146381022,4522910948,36093755,93752,36000003
10000000,3,3,-0.2,32,6388612905,4702992927,36154144,663034,35491110
10000000,3,3,-0.2,64,6332087706,4697217876,35331503,329678,35001825
10000000,3,3,-0.2,128,6198386341,4672111001,34659789,163434,34496355
10000000,3,3,-0.2,256,6135071623,4672914429,36104256,83778,36020478
10000000,3,3,-0.15,32,5801238994,4647661935,34821601,666802,34154799
10000000,3,3,-0.15,64,6095747205,4635480527,34504808,333476,34171332
10000000,3,3,-0.15,128,6057182006,4632741426,34133437,166090,33967347
10000000,3,3,-0.15,256,5935193667,4623782183,33961623,82764,33878859
10000000,3,3,-0.1,32,5471720173,4607189620,33498701,662366,32836335
10000000,3,3,-0.1,64,5763616574,4608293997,33342013,332500,33009513
10000000,3,3,-0.1,128,5873503792,4605197028,33335893,166810,33169083
10000000,3,3,-0.1,256,5753027566,4589109708,33240399,83364,33157035
10000000,3,3,-0.05,32,5085709819,4574529558,32104143,649284,31454859
10000000,3,3,-0.05,64,5376909873,4568914075,31908865,325786,31583079
10000000,3,3,-0.05,128,5520927918,4566775155,31997141,163928,31833213
10000000,3,3,-0.05,256,5547013136,4573695319,32254697,82670,32172027
10000000,3,3,0,32,4600931338,4527927670,31138360,635290,30503070
10000000,3,3,0,64,4744423080,4533243601,30843913,317890,30526023
10000000,3,3,0,128,4820532896,4519751989,30740176,159220,30580956
10000000,3,3,0,256,4840296712,4522616599,30794446,79942,30714504
10000000,3,3,0.05,32,4350149012,4541577369,32169170,656516,31512654
10000000,3,3,0.05,64,4328840760,4535843147,31839718,328246,31511472
10000000,3,3,0.05,128,4342532034,4512636807,31677062,164132,31512930
10000000,3,3,0.05,256,4357064601,4519936656,31596979,82072,31514907
10000000,3,3,0.1,32,4236768174,4532528793,33687706,687508,33000198
10000000,3,3,0.1,64,4237972658,4538505496,33343954,343756,33000198
10000000,3,3,0.1,128,4219707434,4527348284,33172076,171878,33000198
10000000,3,3,0.1,256,4211062648,4518791219,33086144,85940,33000204
10000000,3,3,0.15,32,4177405222,4524909090,35218755,718752,34500003
10000000,3,3,0.15,64,4194597062,4527465273,34859379,359376,34500003
10000000,3,3,0.15,128,4145235722,4517872518,34679691,179688,34500003
10000000,3,3,0.15,256,4177481425,4516941201,34589847,89844,34500003
10000000,3,3,0.2,32,4173332725,4535593278,36750005,750002,36000003
10000000,3,3,0.2,64,4160030680,4528010682,36375005,375002,36000003
10000000,3,3,0.2,128,4162804559,4521708058,36187505,187502,36000003
10000000,3,3,0.2,256,4132941045,4518761336,36093755,93752,36000003
10000000,3,4,-0.2,32,6114125030,4728051303,36231600,716094,35515506
10000000,3,4,-0.2,64,6310975175,4701014568,35516107,355126,35160981
10000000,3,4,-0.2,128,6237071987,4680094393,34746025,175078,34570947
10000000,3,4,-0.2,256,6097428173,4691469394,36298725,90918,36207807
10000000,3,4,-0.15,32,5790109306,4663641309,34912119,701298,34210821
10000000,3,4,-0.15,64,6103317844,4655434725,34578538,350812,34227726
10000000,3,4,-0.15,128,6066332215,4646839706,34184534,174428,34010106
