num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,1750,5,2.04344,2933547597,1823663687,215420939,2086536669,67964285,2038302,797204,1241098,5135
1e+06,1750,5,2.04488,2870075794,1823811151,216405763,2024467859,68350642,2039567,798520,1241047,5309
1e+06,1750,5,2.04178,2908049293,1823937734,216513163,2064891234,67620526,2036489,795437,1241052,5287
1e+06,2000,5,2.04638,2992763152,1881346392,214232990,2140862393,68229417,2041560,801314,1240246,4820
1e+06,2000,5,2.04563,3118878555,1887347540,215009319,2260839594,65990005,2040826,800567,1240259,4804
1e+06,2000,5,2.04746,3071260117,1888548089,216490983,2203662382,68937516,2042655,802404,1240251,4808
1e+06,2000,5,2.0469,3018487169,1877247011,216405434,2159074258,68590995,2042008,801776,1240232,4896
1e+06,2000,5,2.04455,3002790201,1883015949,217269284,2145043405,68264776,2039756,799508,1240248,4798
1e+06,100,6,1.93185,1428521805,1167622598,412746558,597604581,85175874,1859316,700809,1158507,72538
1e+06,100,6,1.9319,1424332226,1164940901,417467397,588495791,84999326,1859677,701067,1158610,72225
1e+06,100,6,1.92669,1421196354,1163717293,414070465,592012400,84201763,1856023,697359,1158664,70663
1e+06,100,6,1.9303,1422764573,1168847063,414423798,593841051,84247427,1857446,698944,1158502,72850
1e+06,100,6,1.92496,1420270532,1161090151,415440985,589035754,84254943,1853982,695602,1158380,70975
1e+06,250,6,1.92627,1786756651,1381586717,423033404,868732830,78594662,1894735,711038,1183697,31539
1e+06,250,6,1.92501,1799913260,1368417478,424220292,878495712,79122949,1893846,710072,1183774,31164
1e+06,250,6,1.92566,1772629826,1380266023,423496625,855764351,79153877,1893744,710029,1183715,31914
1e+06,250,6,1.92479,1774737935,1387211748,425571840,857721068,79487405,1893311,709544,1183767,31476
1e+06,250,6,1.92223,1789536663,1363699165,425597628,870055557,79701262,1891190,707470,1183720,31039
1e+06,500,6,1.92669,2156111922,1533950662,427468687,1181460385,74379065,1910654,717449,1193205,16039
1e+06,500,6,1.92942,2160677518,1534630783,430695599,1182576311,73934387,1912120,718924,1193196,17305
1e+06,500,6,1.92775,2154933074,1531274005,430587090,1180303452,74018698,1910445,717151,1193294,17305
1e+06,500,6,1.92753,2160054044,1532161053,429808247,1186049254,74424251,1910289,717111,1193178,17243
1e+06,500,6,1.9265,2160095185,1530897712,432349954,1180801924,73847730,1909284,716141,1193143,17211
1e+06,750,6,1.93037,2409126095,1631983561,430292880,1416184203,67744781,1919046,722845,1196201,11328
1e+06,750,6,1.92997,2413600110,1633979986,432032422,1418455793,70080486,1918668,722466,1196202,11307
1e+06,750,6,1.93067,2402399257,1633128585,434012217,1400480448,70293502,1918898,722628,1196270,11771
1e+06,750,6,1.92949,2411255906,1663557562,439623816,1401289173,70110592,1918144,721946,1196198,11349
1e+06,750,6,1.92798,2380410957,1631544110,435965477,1381179024,71608671,1916652,720488,1196164,11328
1e+06,1000,6,1.92999,2633994428,1687517899,431214990,1611223235,70808315,1921127,722329,1198798,8860
1e+06,1000,6,1.9317,2641906668,1689070452,435245187,1617006440,70359454,1922926,724114,1198812,8774
1e+06,1000,6,1.93172,2588885757,1688998832,434782369,1561693255,70780884,1922857,724063,1198794,8868
1e+06,1000,6,1.93344,2617361895,1704026779,436067970,1589186198,70238794,1924521,725723,1198798,8915
1e+06,1000,6,1.92691,2591604805,1686057051,433573828,1570274198,70197671,1918054,719222,1198832,8852
1e+06,1250,6,1.93299,2853333130,1731574289,433970904,1803663161,70914849,1925837,727971,1197866,7152
1e+06,1250,6,1.93373,2804378171,1729486248,434690982,1755355565,71071647,1926515,728681,1197834,7215
1e+06,1250,6,1.93274,2813897332,1726817538,435533662,1764201015,71118822,1925647,727820,1197827,7096
1e+06,1250,6,1.93302,2747748822,1730065412,436806347,1698955236,71420280,1925948,728084,1197864,7071
1e+06,1250,6,1.92978,2802963081,1727955555,434614934,1758317798,70980212,1922723,724844,1197879,7052
1e+06,1500,6,1.93494,2983932812,1769273892,436539896,1931809117,68198834,1928885,729206,1199679,6054
1e+06,1500,6,1.9348,2957254612,1787498525,436451014,1902745225,69057301,1928815,729137,1199678,5981
1e+06,1500,6,1.93511,3018360506,1768106922,437514615,1961047356,67631375,1929064,729384,1199680,6044
1e+06,1500,6,1.93445,3004322572,1767982013,436441788,1942887799,68791838,1928447,728781,1199666,6007
1e+06,1500,6,1.93285,3014899219,1767653222,438384317,1959198642,68614930,1926776,727082,1199694,6075
1e+06,1750,6,1.9348,3101579296,1804318605,435620914,2037466369,67688091,1929559,727122,1202437,5238
1e+06,1750,6,1.93413,3111987212,1802091538,436374594,2075003825,47112486,1928973,726482,1202491,5157
1e+06,1750,6,1.93535,3115901558,1795692183,437914232,2046444399,67671852,1930211,727744,1202467,5135
1e+06,1750,6,1.93345,3136789703,1798250258,437607909,2070494483,68947762,1928145,725670,1202475,5309
1e+06,1750,6,1.93175,3162919622,1800879664,437725048,2100582753,67379423,1926466,723994,1202472,5287
1e+06,2000,6,1.93666,3215788169,1863449412,436782857,2148165076,58038429,1931841,730227,1201614,4820
