num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,1500,32,1614874,40628253717,1643301126,2647450531,37090172224,575354,91931,483423,6007,1033513
1e+06,1500,32,1612827,40994409860,1639559431,2630411255,37473156301,575113,91699,483414,6091,1031623
1e+06,2000,32,1610748,41694951672,1739896832,2622123005,38128601965,575182,90879,484303,4551,1031015
1e+06,2000,32,1611827,41361758699,1741433033,2650538657,37764157358,575277,90932,484345,4540,1032010
1e+06,10,34,2185627,922180282,768098485,303662164,0,628000,387470,240530,525036,1032591
1e+06,10,34,2184629,918924511,772993368,301119886,0,626944,386383,240561,525036,1032649
1e+06,50,34,1726996,3397303159,1001921693,2573111565,168143531,565027,159816,405211,132537,1029432
1e+06,50,34,1735275,3436308055,1002652204,2601867574,166764333,564628,159425,405203,137538,1033109
1e+06,100,34,1647167,11634322432,1050640604,3073522281,7894367310,544435,99779,444656,71288,1031444
1e+06,100,34,1650589,11356375615,1044741826,3088841005,7597980048,543941,99318,444623,73163,1033485
1e+06,500,34,1612097,39230657529,1423421088,3363994376,35032205170,563954,86647,477307,16070,1032073
1e+06,500,34,1611315,39249710521,1444405976,3342532895,35083463865,563329,85985,477344,17243,1030743
1e+06,1000,34,1607542,41656754560,1615565902,3389758522,37363924445,566617,84726,481891,8813,1032112
1e+06,1000,34,1607777,41609613877,1614666048,3368348373,37330760524,566481,84617,481864,8875,1032421
1e+06,1500,34,1604703,43632768410,1646328216,3370939872,39345545600,566635,82555,484080,6007,1032061
1e+06,1500,34,1606287,44149350475,1650043462,3377063693,39853218275,567026,82947,484079,6091,1033170
1e+06,2000,34,1605479,45839774289,1718782822,3386702232,41490569914,567696,82507,485189,4551,1033232
1e+06,2000,34,1604161,45062939843,1714524124,3376510214,40733895808,567063,81832,485231,4540,1032558
1e+06,10,36,2185627,908289984,768592248,300447339,0,628000,387470,240530,525036,1032591
1e+06,10,36,2184629,901730106,771650153,300215695,0,626944,386383,240561,525036,1032649
1e+06,50,36,1727830,4152935195,1006516562,3337220736,157490216,562916,175708,387208,132537,1032377
1e+06,50,36,1733729,4132290631,1007487526,3317401486,155215557,563430,176411,387019,137538,1032761
1e+06,100,36,1644515,9278180497,1039968323,3873670296,4738776480,542104,119522,422582,71288,1031123
1e+06,100,36,1646078,9249381529,1040431774,3881806379,4702205712,541222,118650,422572,73163,1031693
1e+06,500,36,1607020,42719583150,1448960000,4285246849,37604459404,560052,109055,450997,16070,1030898
1e+06,500,36,1609557,42851712343,1464909837,4274121198,37743090884,559450,108412,451038,17243,1032864
1e+06,1000,36,1603182,46611565694,1612757760,4313563020,41388781292,561477,105762,455715,8813,1032892
1e+06,1000,36,1603317,46958757331,1623073807,4339519479,41709370617,562399,106651,455748,8875,1032043
1e+06,1500,36,1601376,46948121107,1645146007,4310125638,41711962462,562657,105552,457105,6007,1032712
1e+06,1500,36,1602605,47442646349,1653974702,4348779347,42172263323,564180,107090,457090,6091,1032334
1e+06,2000,36,1600099,48702160092,1713533394,4326530709,43425242633,563663,105474,458189,4551,1031885
1e+06,2000,36,1599448,49500262124,1726463056,4370043997,44178344725,564219,106027,458192,4540,1030689
